Player,Nation,Nation_code,Pos,Pos_group,Age,Playing Time 90s,weighted_score_norm2,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes npxG,Per 90 Minutes xAG,PrgC_p90,PrgP_p90,PrgR_p90,CrdY_p90,CrdR_p90
James Mcatee,eng ENG,ENG,"MF,FW",FWD,20.0,20.2,22.72712871287129,0.15,0.15,0.15,0.11,0.15,2.722772277227723,2.5247524752475248,5.445544554455446,0.09900990099009901,0.0
Nabil Bentaleb,dz ALG,ALG,MF,MID,28.0,21.9,22.726118721461194,0.0,0.14,0.02,0.02,0.04,0.5022831050228311,6.210045662100457,0.7762557077625571,0.31963470319634707,0.0
Lucas Robertone,ar ARG,ARG,MF,MID,26.0,26.5,22.723584905660378,0.0,0.19,0.04,0.04,0.1,1.169811320754717,4.830188679245283,1.3962264150943395,0.41509433962264153,0.0
Dwight McNeil,eng ENG,ENG,"MF,FW",FWD,23.0,32.1,22.70380062305296,0.09,0.19,0.11,0.11,0.27,2.4922118380062304,3.5514018691588785,4.579439252336448,0.06230529595015576,0.0
Jarrod Bowen,eng ENG,ENG,FW,FWD,26.0,33.5,22.692388059701493,0.48,0.18,0.35,0.35,0.16,2.6865671641791047,1.5522388059701493,5.552238805970149,0.05970149253731343,0.0
Luis Javier Suárez,co COL,COL,FW,FWD,25.0,10.2,22.611568627450982,0.59,0.0,0.64,0.56,0.06,2.9411764705882355,1.4705882352941178,5.196078431372549,0.29411764705882354,0.0
Mathias Pereira Lage,pt POR,POR,"FW,MF",FWD,26.0,13.2,22.590303030303033,0.23,0.15,0.27,0.27,0.13,1.4393939393939394,1.7424242424242424,7.196969696969697,0.2272727272727273,0.0
Yann Aurel Bisseck,de GER,GER,DF,DEF,22.0,10.0,22.59,0.2,0.0,0.09,0.09,0.05,2.4,3.0,2.0,0.0,0.0
Ollie Watkins,eng ENG,ENG,FW,FWD,27.0,35.7,22.571372549019607,0.53,0.36,0.47,0.47,0.21,1.7366946778711483,1.5406162464985993,5.994397759103641,0.11204481792717086,0.0
Jack Harrison,eng ENG,ENG,"MF,FW",FWD,26.0,24.6,22.56016260162602,0.12,0.12,0.14,0.14,0.14,2.6422764227642275,2.5203252032520322,5.48780487804878,0.04065040650406504,0.0
Adam Wharton,eng ENG,ENG,MF,MID,19.0,14.4,22.499444444444443,0.0,0.21,0.02,0.02,0.17,0.9722222222222222,5.486111111111111,0.6944444444444444,0.1388888888888889,0.0
Eddie Nketiah,eng ENG,ENG,FW,FWD,24.0,12.0,22.463333333333335,0.42,0.17,0.38,0.38,0.07,1.8333333333333333,1.6666666666666667,6.416666666666667,0.25,0.0
Tobias Kempe,de GER,GER,MF,MID,34.0,15.0,22.463333333333335,0.2,0.13,0.24,0.08,0.14,1.0,2.933333333333333,3.066666666666667,0.06666666666666667,0.0
Kiliann Sildillia,fr FRA,FRA,DF,DEF,21.0,20.1,22.448805970149255,0.0,0.05,0.03,0.03,0.04,1.0945273631840795,3.4825870646766166,2.8855721393034823,0.09950248756218905,0.04975124378109452
Tijjani Noslin,nl NED,NED,"FW,MF",FWD,24.0,14.9,22.42577181208054,0.34,0.27,0.24,0.24,0.14,1.9463087248322146,1.74496644295302,6.308724832214765,0.1342281879194631,0.0
Casemiro,br BRA,BRA,"MF,DF",MID,31.0,22.0,22.340000000000003,0.05,0.09,0.16,0.16,0.05,0.5454545454545454,5.090909090909091,1.6363636363636365,0.3181818181818182,0.0
Hiroki Ito,jp JPN,JPN,DF,DEF,24.0,24.8,22.335806451612903,0.0,0.08,0.04,0.04,0.08,1.1693548387096775,4.879032258064516,1.2903225806451613,0.04032258064516129,0.0
Wahbi Khazri,tn TUN,TUN,FW,FWD,32.0,12.6,22.331111111111113,0.08,0.0,0.26,0.26,0.1,2.142857142857143,2.619047619047619,6.031746031746032,0.4761904761904762,0.0
Ricardo Rodríguez,ch SUI,SUI,DF,DEF,30.0,30.8,22.317922077922077,0.03,0.06,0.01,0.01,0.04,1.9805194805194806,4.123376623376624,1.2987012987012987,0.12987012987012986,0.0
Alexander Sørloth,no NOR,NOR,FW,FWD,27.0,27.7,22.295631768953065,0.83,0.22,0.44,0.44,0.16,1.7328519855595668,1.444043321299639,5.740072202166065,0.10830324909747292,0.0
Callum Wilson,eng ENG,ENG,FW,FWD,31.0,11.0,22.278636363636362,0.82,0.09,0.8,0.65,0.05,1.0,0.8181818181818182,7.0,0.2727272727272727,0.0
Thierry Correia,pt POR,POR,DF,DEF,24.0,23.9,22.25284518828452,0.0,0.08,0.03,0.03,0.09,1.6736401673640169,3.3472803347280338,2.3430962343096238,0.1673640167364017,0.041841004184100423
Mohammed Salisu,gh GHA,GHA,DF,DEF,24.0,11.5,22.240000000000002,0.0,0.09,0.02,0.02,0.02,0.6086956521739131,6.260869565217392,0.5217391304347826,0.17391304347826086,0.0
Idrissa Gana Gueye,sn SEN,SEN,MF,MID,33.0,20.9,22.228947368421053,0.19,0.0,0.06,0.06,0.05,1.3875598086124403,3.971291866028708,1.9617224880382778,0.3827751196172249,0.0
Milan Badelj,hr CRO,CRO,MF,MID,34.0,28.2,22.22574468085106,0.04,0.11,0.05,0.05,0.04,0.6382978723404256,5.3546099290780145,1.2765957446808511,0.2127659574468085,0.0
James Ward-Prowse,eng ENG,ENG,MF,MID,28.0,33.3,22.20015015015015,0.21,0.21,0.18,0.13,0.23,0.5405405405405406,4.324324324324325,1.891891891891892,0.12012012012012013,0.0
Martín Zubimendi,es ESP,ESP,MF,MID,24.0,29.5,22.191525423728812,0.14,0.03,0.09,0.09,0.05,1.152542372881356,5.1525423728813555,0.9152542372881356,0.1694915254237288,0.0
Tom Krauß,de GER,GER,MF,MID,22.0,15.0,22.186666666666667,0.07,0.13,0.05,0.05,0.03,0.8,4.533333333333333,1.9333333333333333,0.3333333333333333,0.0
Francisco Perez,es ESP,ESP,"MF,FW",FWD,20.0,22.8,22.165789473684207,0.04,0.18,0.05,0.05,0.11,2.587719298245614,1.7982456140350878,6.359649122807017,0.17543859649122806,0.0
Kévin Gameiro,fr FRA,FRA,"FW,MF",FWD,36.0,15.0,22.088333333333335,0.27,0.13,0.23,0.12,0.18,1.7333333333333334,2.933333333333333,5.4,0.0,0.0
Hamza Rafia,tn TUN,TUN,MF,MID,24.0,13.4,22.081791044776118,0.07,0.0,0.06,0.06,0.06,1.1194029850746268,3.432835820895522,2.761194029850746,0.29850746268656714,0.0
Jonathan Burkardt,de GER,GER,"FW,MF",FWD,23.0,17.1,22.0762865497076,0.47,0.12,0.36,0.31,0.12,2.1052631578947367,1.6374269005847952,5.906432748538011,0.11695906432748537,0.0
Amadou Onana,be BEL,BEL,MF,MID,21.0,23.2,22.069310344827585,0.09,0.0,0.09,0.09,0.11,0.9051724137931034,4.612068965517241,1.6810344827586208,0.21551724137931036,0.0
