key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id_x,home_team_name,home_team_code,away_team_id_x,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,match_time_clean,elo_home,elo_away,elo_diff,home_team_id_y,home_points_last5,home_gd_last5,home_winrate_last10,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,home_rest_days,away_team_id_y,away_points_last5,away_gd_last5,away_winrate_last10,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,away_rest_days,underdog_is_home,y_upset_avoid_loss,y_home_win,y_draw,y_away_win,is_group_stage,is_knockout
1099,WC-2018,2018 FIFA Men's World Cup,M-2018-31,Japan vs Senegal,group stage,Group H,1,0,0,0,2018-06-24,20:00,S-159,Central Stadium,Yekaterinburg,Russia,T-44,Japan,JPN,T-65,Senegal,SEN,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-24,20:00,1510.0,1510.0,0.0,T-44,3.0,1.0,1.0,0.0,1.0,0.0,5,T-65,3.0,1.0,1.0,0.0,1.0,0.5,5,0,1,0,1,0,1,0
1100,WC-2018,2018 FIFA Men's World Cup,M-2018-32,Poland vs Colombia,group stage,Group H,1,0,0,0,2018-06-24,21:00,S-149,Kazan Arena,Kazan,Russia,T-57,Poland,POL,T-16,Colombia,COL,0–3,0,3,-3,3,0,0,0-0,0,0,away team win,0,1,0,2018-06-24,21:00,1490.0,1490.0,0.0,T-57,0.0,-1.0,0.0,1.0,0.0,0.0,5,T-16,0.0,-1.0,0.0,1.0,0.0,0.0,5,0,1,0,0,1,1,0
1101,WC-2018,2018 FIFA Men's World Cup,M-2018-33,Saudi Arabia vs Egypt,group stage,Group A,1,0,0,0,2018-06-25,17:00,S-158,Volgograd Arena,Volgograd,Russia,T-63,Saudi Arabia,SAU,T-26,Egypt,EGY,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-25,17:00,1480.5750112778453,1480.5750112778453,0.0,T-63,0.0,-6.0,0.0,1.0,0.0,0.3333333333333333,5,T-26,0.0,-3.0,0.0,1.0,0.0,0.3333333333333333,6,0,0,1,0,0,1,0
1102,WC-2018,2018 FIFA Men's World Cup,M-2018-34,Uruguay vs Russia,group stage,Group A,1,0,0,0,2018-06-25,18:00,S-155,Samara Arena,Samara,Russia,T-84,Uruguay,URY,T-62,Russia,RUS,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,2018-06-25,18:00,1519.4249887221547,1519.4249887221547,0.0,T-84,6.0,2.0,1.0,0.0,1.0,0.0,5,T-62,6.0,7.0,1.0,0.0,1.0,0.0,6,0,0,1,0,0,1,0
1103,WC-2018,2018 FIFA Men's World Cup,M-2018-35,Spain vs Morocco,group stage,Group B,1,0,0,0,2018-06-25,20:00,S-148,Kaliningrad Stadium,Kaliningrad,Russia,T-73,Spain,ESP,T-47,Morocco,MAR,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-25,20:00,1510.28774368332,1480.28774368332,30.0,T-73,4.0,1.0,0.5,0.5,1.0,0.3333333333333333,5,T-47,0.0,-2.0,0.0,1.0,0.0,0.3333333333333333,5,0,1,0,1,0,1,0
1104,WC-2018,2018 FIFA Men's World Cup,M-2018-36,Iran vs Portugal,group stage,Group B,1,0,0,0,2018-06-25,21:00,S-156,Mordovia Arena,Saransk,Russia,T-38,Iran,IRN,T-58,Portugal,PRT,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-25,21:00,1499.71225631668,1509.71225631668,-10.0,T-38,3.0,0.0,0.5,0.5,0.0,0.0,5,T-58,4.0,1.0,0.5,0.0,1.0,0.0,5,1,1,0,1,0,1,0
1105,WC-2018,2018 FIFA Men's World Cup,M-2018-37,Australia vs Peru,group stage,Group C,1,0,0,0,2018-06-26,17:00,S-157,Fisht Olympic Stadium,Sochi,Russia,T-04,Australia,AUS,T-56,Peru,PER,0–2,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0,2018-06-26,17:00,1490.5750112778453,1480.5750112778453,10.0,T-04,1.0,-1.0,0.0,1.0,0.5,0.3333333333333333,5,T-56,0.0,-2.0,0.0,1.0,0.0,0.0,5,0,1,0,0,1,1,0
1106,WC-2018,2018 FIFA Men's World Cup,M-2018-38,Denmark vs France,group stage,Group C,1,0,0,0,2018-06-26,17:00,S-150,Luzhniki Stadium,Moscow,Russia,T-22,Denmark,DNK,T-30,France,FRA,0–0,0,0,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-26,17:00,1509.4249887221547,1519.4249887221547,-10.0,T-22,4.0,1.0,0.5,0.0,1.0,0.0,5,T-30,6.0,2.0,1.0,0.0,1.0,0.0,5,1,1,0,1,0,1,0
1107,WC-2018,2018 FIFA Men's World Cup,M-2018-39,Iceland vs Croatia,group stage,Group D,1,0,0,0,2018-06-26,21:00,S-153,Rostov Arena,Rostov-on-Don,Russia,T-37,Iceland,ISL,T-18,Croatia,HRV,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-26,21:00,1489.71225631668,1519.71225631668,-30.0,T-37,1.0,-2.0,0.0,1.0,0.5,0.3333333333333333,4,T-18,6.0,5.0,1.0,0.0,1.0,0.0,5,1,0,0,0,1,1,0
1108,WC-2018,2018 FIFA Men's World Cup,M-2018-40,Nigeria vs Argentina,group stage,Group D,1,0,0,0,2018-06-26,21:00,S-154,Krestovsky Stadium,Saint Petersburg,Russia,T-50,Nigeria,NGA,T-03,Argentina,ARG,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-26,21:00,1500.28774368332,1490.28774368332,10.0,T-50,3.0,0.0,0.5,0.5,0.0,0.0,4,T-03,1.0,-3.0,0.0,0.5,0.0,0.3333333333333333,5,0,1,0,0,1,1,0
